                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87844,                0.80354,                 1.1557,                0.93571,                0.90762,                0.96269,                0.77029,                0.74647,                0.53832,                 1.1002,               0.000825,               0.000825,               0.000825
                     36,                0.88608,                0.80488,                 1.1482,                 0.9304,                0.91614,                0.95665,                 0.7869,                0.69394,                  0.497,                 1.0573,              0.0008125,              0.0008125,              0.0008125
                     37,                0.87333,                0.79565,                  1.159,                0.89364,                0.90593,                0.95579,                 0.7814,                0.71033,                0.53815,                 1.0618,                 0.0008,                 0.0008,                 0.0008
                     38,                0.84597,                0.78067,                 1.1412,                0.93151,                0.92152,                 0.9678,                0.79542,                0.68703,                0.47083,                 1.0549,              0.0007875,              0.0007875,              0.0007875
                     39,                0.84963,                0.76431,                 1.1443,                0.93527,                0.91985,                0.97473,                0.79962,                0.70243,                0.48167,                  1.064,               0.000775,               0.000775,               0.000775
                     40,                0.82593,                 0.7335,                 1.1285,                0.93002,                0.93918,                0.96397,                0.79793,                0.67849,                0.45887,                 1.0563,              0.0007625,              0.0007625,              0.0007625
                     41,                 0.8398,                0.74395,                 1.1224,                0.93461,                0.91634,                 0.9696,                0.80245,                0.68424,                0.46893,                 1.0495,                0.00075,                0.00075,                0.00075
                     42,                0.84929,                0.70518,                 1.1401,                0.94423,                0.92999,                0.96856,                0.79945,                0.69521,                0.45008,                 1.0584,              0.0007375,              0.0007375,              0.0007375
                     43,                0.82276,                0.71309,                 1.1191,                0.93811,                0.93018,                0.97419,                0.81139,                0.65538,                 0.4696,                 1.0376,               0.000725,               0.000725,               0.000725
                     44,                0.83183,                0.73318,                 1.1242,                0.92814,                0.92024,                0.96853,                0.80427,                0.67243,                0.48116,                 1.0396,              0.0007125,              0.0007125,              0.0007125
                     45,                0.81654,                0.69485,                 1.1172,                0.94698,                0.93109,                0.97435,                0.81336,                0.66339,                0.43497,                 1.0368,                 0.0007,                 0.0007,                 0.0007
                     46,                0.78631,                0.68494,                 1.1109,                 0.9376,                0.94021,                0.97314,                0.82082,                0.63905,                0.43714,                 1.0188,              0.0006875,              0.0006875,              0.0006875
                     47,                0.81653,                0.71723,                 1.1335,                0.94004,                0.93328,                0.97442,                0.81335,                0.66392,                0.44019,                 1.0433,               0.000675,               0.000675,               0.000675
                     48,                0.81027,                0.70159,                  1.105,                0.94776,                0.93199,                0.97856,                 0.8202,                0.65504,                0.43777,                 1.0302,              0.0006625,              0.0006625,              0.0006625
                     49,                0.79012,                0.67637,                 1.0929,                0.93895,                0.94786,                0.97345,                0.82715,                0.62089,                0.40395,                 1.0139,                0.00065,                0.00065,                0.00065
                     50,                0.78186,                0.67975,                 1.1166,                0.93593,                0.93623,                0.97524,                0.81563,                0.63038,                0.42187,                 1.0147,              0.0006375,              0.0006375,              0.0006375
                     51,                0.76949,                0.64124,                 1.1022,                 0.9474,                0.95487,                0.97802,                0.82963,                0.61805,                0.40042,                 1.0064,               0.000625,               0.000625,               0.000625
                     52,                0.74893,                0.63751,                 1.0921,                  0.962,                0.94988,                 0.9781,                0.82165,                0.64501,                0.40155,                 1.0414,              0.0006125,              0.0006125,              0.0006125
                     53,                0.75375,                0.62448,                 1.0988,                0.92701,                0.95161,                0.97842,                0.82734,                0.60321,                0.40155,                0.99817,                 0.0006,                 0.0006,                 0.0006
                     54,                0.78456,                0.63669,                 1.1062,                0.95532,                0.96624,                0.98647,                0.84653,                0.59547,                0.36762,                0.99032,              0.0005875,              0.0005875,              0.0005875
                     55,                0.73398,                0.61257,                   1.08,                0.95202,                0.92653,                0.97904,                0.83213,                0.60781,                0.39837,                0.99631,               0.000575,               0.000575,               0.000575
                     56,                0.77286,                0.61975,                 1.0835,                0.94519,                0.94226,                0.98227,                0.84084,                0.59015,                0.39428,                0.98884,              0.0005625,              0.0005625,              0.0005625
                     57,                 0.7504,                0.60529,                 1.0784,                0.94934,                0.94014,                0.98459,                0.84569,                0.58044,                0.37043,                0.97883,                0.00055,                0.00055,                0.00055
                     58,                 0.7176,                0.61478,                 1.0838,                0.95546,                 0.9517,                0.98109,                0.83508,                0.59871,                0.37538,                0.98388,              0.0005375,              0.0005375,              0.0005375
                     59,                 0.7384,                0.61369,                 1.0879,                0.94022,                0.95688,                0.98317,                0.84523,                0.56487,                0.38093,                 0.9695,               0.000525,               0.000525,               0.000525
                     60,                0.71036,                0.58087,                 1.0709,                0.93346,                0.97017,                 0.9848,                0.84916,                0.56825,                0.35925,                0.96936,              0.0005125,              0.0005125,              0.0005125
                     61,                0.73002,                0.60289,                  1.074,                0.95356,                0.95922,                0.98702,                0.86018,                0.54864,                0.34125,                0.95914,                 0.0005,                 0.0005,                 0.0005
                     62,                0.68696,                0.56256,                  1.044,                0.96653,                0.95011,                0.98408,                0.85287,                0.56403,                0.34714,                0.96505,              0.0004875,              0.0004875,              0.0004875
                     63,                 0.7222,                0.56189,                 1.0724,                0.96133,                0.96382,                0.98706,                0.85833,                0.55369,                 0.3342,                0.96231,               0.000475,               0.000475,               0.000475
                     64,                0.69693,                0.58882,                 1.0607,                0.96174,                 0.9607,                0.98716,                0.85413,                0.55565,                0.34576,                0.95471,              0.0004625,              0.0004625,              0.0004625
                     65,                0.70423,                0.53816,                 1.0531,                0.96249,                0.97427,                0.98927,                0.86228,                0.53296,                0.31855,                0.94522,                0.00045,                0.00045,                0.00045
                     66,                 0.7007,                0.57796,                 1.0584,                0.96646,                0.96726,                0.98895,                0.86137,                 0.5289,                0.32145,                0.94408,              0.0004375,              0.0004375,              0.0004375
                     67,                0.68426,                0.54247,                  1.041,                0.96391,                 0.9697,                0.98987,                 0.8656,                0.52659,                 0.3174,                0.94277,               0.000425,               0.000425,               0.000425
                     68,                0.68941,                0.52042,                 1.0428,                0.95825,                0.98516,                0.98957,                0.86629,                0.53096,                0.31398,                0.94081,              0.0004125,              0.0004125,              0.0004125
                     69,                0.67861,                0.50543,                 1.0312,                0.96713,                0.97883,                0.99013,                0.87154,                0.51266,                0.30391,                0.93209,                 0.0004,                 0.0004,                 0.0004
                     70,                0.68032,                0.52268,                 1.0468,                0.94978,                0.98562,                0.99029,                0.86355,                0.51088,                0.31178,                0.93678,              0.0003875,              0.0003875,              0.0003875
                     71,                0.67329,                0.52544,                 1.0511,                0.96449,                0.96807,                0.98993,                0.87674,                0.49785,                0.30439,                0.92556,               0.000375,               0.000375,               0.000375
                     72,                0.65598,                0.48368,                 1.0557,                0.95969,                0.97028,                0.98776,                0.86476,                0.51747,                0.30879,                0.93676,              0.0003625,              0.0003625,              0.0003625
                     73,                0.65249,                0.48359,                 1.0389,                0.96317,                0.96837,                0.98917,                0.87072,                0.50138,                0.30478,                0.92608,                0.00035,                0.00035,                0.00035
                     74,                0.64526,                0.48921,                 1.0299,                0.96151,                0.97238,                0.99013,                0.87371,                0.49914,                0.29423,                0.92432,              0.0003375,              0.0003375,              0.0003375
                     75,                0.61755,                0.47026,                 1.0169,                0.97552,                0.97415,                0.99132,                0.88314,                0.48554,                 0.2892,                0.91784,               0.000325,               0.000325,               0.000325
                     76,                0.61652,                0.47041,                 1.0119,                0.95642,                 0.9844,                0.99049,                0.88189,                0.47694,                0.28524,                  0.915,              0.0003125,              0.0003125,              0.0003125
                     77,                0.64266,                 0.5043,                 1.0227,                0.95758,                0.97833,                0.99047,                 0.8825,                0.47914,                0.28501,                0.91511,                 0.0003,                 0.0003,                 0.0003
                     78,                0.63758,                 0.4926,                 1.0284,                 0.9746,                0.97686,                0.99012,                0.88246,                 0.4737,                0.27835,                0.91182,              0.0002875,              0.0002875,              0.0002875
                     79,                0.62265,                0.46915,                  1.036,                0.96317,                0.97724,                0.99071,                0.88575,                0.46691,                0.28284,                 0.9069,               0.000275,               0.000275,               0.000275
                     80,                0.60125,                 0.4629,                 1.0228,                0.96989,                0.98156,                 0.9909,                0.88608,                 0.4563,                0.27319,                0.90214,              0.0002625,              0.0002625,              0.0002625
                     81,                0.61786,                0.46573,                  1.028,                0.97255,                0.97681,                0.99069,                0.89625,                0.44539,                0.26634,                0.89394,                0.00025,                0.00025,                0.00025
                     82,                0.61123,                0.45467,                 1.0162,                0.97038,                0.97494,                0.99122,                0.89071,                0.45216,                0.27255,                0.89776,              0.0002375,              0.0002375,              0.0002375
                     83,                0.61813,                 0.4643,                 1.0049,                0.97231,                0.98306,                0.99154,                0.89373,                0.44444,                0.26566,                0.89166,               0.000225,               0.000225,               0.000225
                     84,                0.60424,                0.44559,                 1.0069,                0.97002,                0.98257,                0.99129,                0.89715,                0.44051,                0.26235,                0.89053,              0.0002125,              0.0002125,              0.0002125
                     85,                0.59453,                0.44102,                0.99654,                 0.9677,                0.98301,                0.99127,                 0.8962,                0.43499,                0.26115,                0.89014,                 0.0002,                 0.0002,                 0.0002
                     86,                0.59196,                0.46168,                 1.0117,                 0.9681,                0.98648,                0.99177,                  0.901,                0.43073,                0.25301,                0.88397,              0.0001875,              0.0001875,              0.0001875
                     87,                0.56814,                0.43347,                0.99413,                0.96802,                0.98684,                0.99174,                 0.9034,                0.42578,                0.25231,                0.87939,               0.000175,               0.000175,               0.000175
                     88,                0.59596,                0.43583,                 1.0082,                0.97257,                0.98201,                0.99161,                0.90384,                0.41995,                0.24843,                0.87838,              0.0001625,              0.0001625,              0.0001625
                     89,                0.57277,                0.42051,                0.99314,                0.97101,                0.98413,                0.99114,                0.89914,                0.42244,                0.24991,                0.87895,                0.00015,                0.00015,                0.00015
                     90,                 0.5002,                0.34636,                0.94378,                0.97029,                0.98279,                0.99105,                0.90323,                0.41979,                 0.2548,                0.87613,              0.0001375,              0.0001375,              0.0001375
                     91,                0.47674,                0.31673,                0.94616,                0.97774,                0.98033,                0.99153,                0.90509,                0.42055,                0.25337,                0.87622,               0.000125,               0.000125,               0.000125
                     92,                0.47236,                0.30782,                0.93678,                0.97029,                0.98714,                0.99162,                0.90691,                0.41725,                0.25059,                0.87408,              0.0001125,              0.0001125,              0.0001125
                     93,                0.46693,                0.30632,                0.92838,                0.96756,                0.98684,                0.99159,                0.90337,                0.41533,                0.24865,                0.87209,                 0.0001,                 0.0001,                 0.0001
                     94,                0.45386,                0.29258,                0.93091,                 0.9696,                0.98492,                0.99172,                0.90823,                0.40574,                0.24524,                0.86835,               8.75e-05,               8.75e-05,               8.75e-05
                     95,                0.44961,                0.28826,                0.93131,                0.96894,                0.98445,                0.99186,                0.91693,                0.39886,                0.24123,                0.86248,                7.5e-05,                7.5e-05,                7.5e-05
                     96,                0.45326,                0.28258,                0.93042,                0.96342,                0.98521,                0.99122,                0.91317,                0.39617,                0.24479,                0.86182,               6.25e-05,               6.25e-05,               6.25e-05
                     97,                0.44102,                0.28612,                0.91909,                 0.9693,                0.98088,                0.99153,                0.91601,                0.39278,                0.24454,                0.86007,                  5e-05,                  5e-05,                  5e-05
                     98,                  0.435,                0.27547,                0.91301,                0.97183,                0.98907,                0.99207,                0.91875,                0.38741,                0.23636,                0.85754,               3.75e-05,               3.75e-05,               3.75e-05
                     99,                0.44249,                0.28455,                0.92598,                0.97471,                0.98791,                 0.9921,                0.92021,                0.38273,                0.23236,                 0.8555,                2.5e-05,                2.5e-05,                2.5e-05
