                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0387,                0.92403,                 1.0537,                0.84056,                0.74082,                0.81278,                0.64289,                0.93025,                0.61905,                0.97619,              0.0033318,              0.0033318,              0.0033318
                      2,                0.93492,                0.65082,                 0.9806,                   0.84,                0.79999,                0.85973,                0.69493,                0.82861,                0.55395,                0.94846,              0.0065991,              0.0065991,              0.0065991
                      3,                 0.9192,                0.63716,                0.97716,                0.85696,                0.79829,                0.86366,                0.69676,                0.82252,                 0.5438,                0.95268,              0.0098005,              0.0098005,              0.0098005
                      4,                0.90659,                0.62217,                0.96908,                0.85421,                0.83763,                0.89391,                0.72172,                0.81439,                0.52518,                0.94398,               0.009703,               0.009703,               0.009703
                      5,                0.86807,                0.57887,                 0.9518,                0.86922,                0.82738,                0.88942,                0.72437,                0.76538,                0.48422,                0.91631,               0.009604,               0.009604,               0.009604
                      6,                 0.8479,                0.55616,                0.94452,                0.90494,                0.85508,                0.92167,                0.75431,                0.75484,                0.46226,                0.91396,               0.009505,               0.009505,               0.009505
                      7,                0.82962,                0.53196,                0.93571,                0.89589,                 0.8814,                0.93401,                0.77113,                0.74923,                0.45766,                0.90279,               0.009406,               0.009406,               0.009406
                      8,                0.81536,                 0.5195,                0.92867,                0.91684,                0.87711,                0.94302,                0.77601,                0.74227,                0.44431,                0.90913,               0.009307,               0.009307,               0.009307
                      9,                 0.8073,                0.50571,                0.92659,                0.90176,                 0.8939,                0.94849,                0.78569,                  0.725,                0.42676,                 0.9016,               0.009208,               0.009208,               0.009208
                     10,                0.79516,                0.49203,                 0.9215,                0.92377,                0.90807,                0.95601,                0.79859,                0.72005,                0.41219,                0.89834,               0.009109,               0.009109,               0.009109
                     11,                0.78599,                0.48408,                0.91802,                0.92621,                0.89156,                0.95508,                0.79757,                0.71427,                0.40596,                0.89917,                0.00901,                0.00901,                0.00901
                     12,                0.78237,                0.47767,                0.91705,                0.93093,                0.90272,                 0.9598,                0.80563,                0.70381,                0.40537,                0.89243,               0.008911,               0.008911,               0.008911
                     13,                0.77118,                0.46566,                0.91148,                0.91391,                0.90604,                0.94921,                 0.7971,                0.69581,                 0.3976,                0.88856,               0.008812,               0.008812,               0.008812
                     14,                0.76792,                0.45975,                0.90896,                0.93035,                0.92075,                0.96619,                0.81259,                0.69257,                   0.38,                 0.8842,               0.008713,               0.008713,               0.008713
                     15,                0.76129,                0.45414,                0.90834,                 0.9386,                0.91043,                0.96402,                0.81453,                0.68252,                0.37616,                0.88339,               0.008614,               0.008614,               0.008614
                     16,                0.75536,                0.44936,                0.90796,                0.93573,                0.92317,                0.96887,                0.82251,                0.68337,                0.37729,                 0.8854,               0.008515,               0.008515,               0.008515
                     17,                  0.754,                0.44504,                0.90902,                0.93569,                0.92237,                0.96994,                0.82569,                0.67812,                0.37383,                0.88573,               0.008416,               0.008416,               0.008416
                     18,                0.74347,                0.43541,                0.90322,                0.93795,                0.92567,                0.97443,                0.83245,                 0.6727,                0.36261,                0.88041,               0.008317,               0.008317,               0.008317
                     19,                0.74293,                0.43249,                0.90284,                0.94292,                0.92587,                0.97491,                0.83187,                0.66811,                0.35997,                 0.8787,               0.008218,               0.008218,               0.008218
                     20,                0.73588,                0.42978,                0.90065,                0.95179,                0.93969,                0.97616,                0.83425,                0.66358,                0.35489,                 0.8779,               0.008119,               0.008119,               0.008119
                     21,                0.73502,                0.42405,                0.89945,                0.94674,                0.93922,                0.97916,                0.83919,                0.66013,                0.35202,                0.87328,                0.00802,                0.00802,                0.00802
                     22,                0.72739,                  0.418,                0.89734,                0.94528,                0.93477,                0.97963,                0.84315,                0.65603,                0.34149,                0.87282,               0.007921,               0.007921,               0.007921
                     23,                0.72449,                0.41363,                0.89574,                0.94834,                0.94028,                0.97907,                0.83721,                0.65505,                0.34372,                0.87662,               0.007822,               0.007822,               0.007822
                     24,                0.72221,                0.41128,                0.89661,                0.95022,                0.94378,                0.98003,                 0.8459,                0.65104,                 0.3394,                0.87157,               0.007723,               0.007723,               0.007723
                     25,                 0.7176,                0.40723,                0.89364,                0.95661,                0.94721,                0.98378,                0.84999,                0.64395,                0.33247,                0.87192,               0.007624,               0.007624,               0.007624
                     26,                0.71517,                 0.4038,                0.89403,                0.94207,                0.95222,                0.98167,                0.84933,                0.64687,                0.33598,                0.87366,               0.007525,               0.007525,               0.007525
                     27,                0.71427,                0.40144,                0.89457,                0.95738,                0.95123,                0.98338,                0.85308,                0.64413,                0.32813,                0.86985,               0.007426,               0.007426,               0.007426
                     28,                0.70852,                0.39705,                0.89032,                0.95974,                0.94321,                0.98196,                0.85185,                0.63618,                0.32784,                0.86734,               0.007327,               0.007327,               0.007327
                     29,                0.71209,                0.39948,                 0.8937,                 0.9549,                0.95107,                0.98396,                0.85285,                0.63577,                0.32539,                0.86867,               0.007228,               0.007228,               0.007228
                     30,                0.70483,                0.39314,                0.88886,                0.96906,                0.95425,                0.98789,                0.86056,                0.63194,                 0.3154,                0.86692,               0.007129,               0.007129,               0.007129
                     31,                0.70221,                  0.391,                0.88945,                0.96328,                0.95802,                 0.9869,                0.85908,                0.62812,                0.31593,                0.86614,                0.00703,                0.00703,                0.00703
                     32,                0.70084,                0.38898,                0.88927,                0.95421,                0.95842,                0.98429,                0.85675,                0.62833,                0.31541,                0.86349,               0.006931,               0.006931,               0.006931
                     33,                 0.6984,                0.38674,                0.88865,                0.95713,                0.95824,                0.98566,                0.85984,                0.62083,                0.31166,                0.86243,               0.006832,               0.006832,               0.006832
                     34,                0.69552,                0.38531,                  0.883,                0.95743,                0.96395,                0.98753,                0.85971,                0.62186,                0.31406,                0.85891,               0.006733,               0.006733,               0.006733
                     35,                0.69128,                0.38091,                0.88458,                0.96645,                 0.9542,                0.98677,                0.86233,                0.61914,                0.30906,                0.86175,               0.006634,               0.006634,               0.006634
                     36,                 0.6912,                0.37873,                0.88253,                0.95429,                0.96614,                0.98845,                 0.8657,                0.61372,                0.30458,                0.85583,               0.006535,               0.006535,               0.006535
                     37,                0.69031,                0.37821,                0.88498,                0.95937,                 0.9609,                0.98706,                0.86646,                0.61067,                0.30248,                0.85536,               0.006436,               0.006436,               0.006436
                     38,                 0.6862,                0.37448,                0.88241,                0.97155,                 0.9628,                0.99006,                0.86939,                0.60906,                0.29893,                0.85574,               0.006337,               0.006337,               0.006337
                     39,                0.68317,                0.36989,                0.88196,                0.96699,                0.96398,                 0.9896,                0.86806,                0.60555,                0.29558,                0.85717,               0.006238,               0.006238,               0.006238
                     40,                0.68018,                0.36718,                0.88259,                0.96746,                0.96567,                0.99056,                0.87219,                0.60418,                0.29432,                0.85542,               0.006139,               0.006139,               0.006139
                     41,                0.67533,                0.36773,                0.88064,                0.96979,                0.96889,                0.99089,                0.87612,                0.60192,                0.29016,                0.85359,                0.00604,                0.00604,                0.00604
                     42,                0.67976,                0.36514,                  0.881,                0.96979,                0.96885,                0.99076,                0.87405,                0.59918,                0.28824,                0.85269,               0.005941,               0.005941,               0.005941
                     43,                0.67445,                0.36351,                0.87762,                0.97643,                0.96684,                0.98997,                0.87518,                0.59802,                0.28658,                0.84975,               0.005842,               0.005842,               0.005842
                     44,                0.67307,                0.36174,                0.87811,                0.96968,                0.96709,                0.99084,                0.87748,                0.59502,                0.28622,                0.85133,               0.005743,               0.005743,               0.005743
                     45,                0.66855,                0.35936,                0.87861,                0.96985,                0.97109,                0.99126,                0.87992,                0.59117,                0.28196,                 0.8518,               0.005644,               0.005644,               0.005644
                     46,                0.66858,                0.35727,                0.87853,                0.97242,                0.96928,                 0.9916,                0.87617,                0.59054,                 0.2805,                0.85157,               0.005545,               0.005545,               0.005545
