                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.60866,                0.48041,                0.98238,                0.96058,                      1,                0.99344,                0.88527,                0.48764,                0.32268,                0.88729,                0.00032,                0.00032,                0.00032
                     38,                  0.651,                0.46847,                 1.0154,                 0.9554,                      1,                0.98694,                0.87558,                0.48803,                0.31559,                0.88455,               0.000315,               0.000315,               0.000315
                     39,                0.56291,                0.49692,                0.97715,                0.95105,                      1,                0.98528,                0.88474,                0.46285,                0.30485,                0.87505,                0.00031,                0.00031,                0.00031
                     40,                0.55758,                0.42026,                0.97371,                0.96295,                      1,                0.99361,                 0.9029,                0.43304,                0.28593,                0.86431,               0.000305,               0.000305,               0.000305
                     41,                0.60549,                0.49782,                 1.0029,                 0.9623,                      1,                0.99174,                0.88861,                0.45582,                0.31057,                0.87214,                 0.0003,                 0.0003,                 0.0003
                     42,                0.60619,                0.50504,                 1.0009,                0.97393,                0.94118,                0.98219,                 0.8786,                0.46497,                0.31451,                0.87082,               0.000295,               0.000295,               0.000295
                     43,                0.58048,                 0.4763,                0.98473,                0.90718,                      1,                0.97327,                   0.88,                0.46624,                0.33246,                0.87622,                0.00029,                0.00029,                0.00029
                     44,                 0.5668,                0.42936,                 1.0048,                0.93563,                0.99517,                0.98921,                0.89532,                0.44175,                0.30868,                0.86474,               0.000285,               0.000285,               0.000285
                     45,                0.58707,                0.47681,                0.99153,                0.91097,                      1,                0.97636,                0.88583,                0.40643,                0.29734,                0.85219,                0.00028,                0.00028,                0.00028
                     46,                0.58227,                 0.4587,                0.99739,                0.90838,                 0.9676,                0.97455,                0.88593,                0.40692,                0.31726,                0.85254,               0.000275,               0.000275,               0.000275
                     47,                0.54605,                 0.6473,                0.92545,                 0.9095,                0.93968,                0.98084,                0.90089,                0.38903,                0.31577,                0.84317,                0.00027,                0.00027,                0.00027
                     48,                0.57909,                0.44342,                0.99988,                0.94315,                0.94676,                0.98336,                0.89521,                0.42249,                0.35063,                0.85594,               0.000265,               0.000265,               0.000265
                     49,                0.54075,                0.43574,                0.97426,                0.94443,                 0.9686,                0.99125,                0.92733,                0.37112,                0.28704,                0.83567,                0.00026,                0.00026,                0.00026
                     50,                0.48496,                0.41501,                0.93898,                0.92196,                0.99604,                0.99237,                0.94183,                0.35554,                0.28185,                0.82937,               0.000255,               0.000255,               0.000255
                     51,                0.53412,                0.42563,                0.97666,                0.93457,                0.99357,                0.99237,                0.92374,                0.35786,                0.27985,                0.82692,                0.00025,                0.00025,                0.00025
                     52,                0.48832,                0.38204,                0.97224,                0.98592,                0.99004,                0.99366,                0.93567,                0.32949,                0.25562,                0.82199,               0.000245,               0.000245,               0.000245
                     53,                0.50742,                0.38297,                0.96686,                0.96426,                      1,                0.99354,                0.92046,                0.36512,                0.26574,                0.83222,                0.00024,                0.00024,                0.00024
                     54,                0.51116,                0.42686,                0.92834,                0.99122,                0.99825,                  0.995,                0.93561,                0.35382,                0.26736,                 0.8343,               0.000235,               0.000235,               0.000235
                     55,                0.46886,                 0.3842,                0.94325,                0.96744,                      1,                  0.995,                0.93493,                0.39665,                0.26941,                 0.8463,                0.00023,                0.00023,                0.00023
                     56,                0.50903,                 0.3675,                0.94522,                0.95883,                      1,                0.99448,                0.94878,                0.35981,                0.25585,                0.82209,               0.000225,               0.000225,               0.000225
                     57,                0.51186,                 0.3444,                0.95123,                0.95445,                      1,                0.99386,                0.94912,                0.33248,                0.25288,                 0.8142,                0.00022,                0.00022,                0.00022
                     58,                0.48731,                0.39594,                0.93781,                0.95109,                      1,                0.99119,                0.91912,                0.34744,                0.25258,                0.81672,               0.000215,               0.000215,               0.000215
                     59,                0.52292,                0.54427,                 0.9791,                0.95228,                      1,                 0.9884,                0.92365,                0.30467,                 0.2421,                0.80778,                0.00021,                0.00021,                0.00021
                     60,                0.50326,                0.36514,                0.95106,                0.95474,                      1,                0.99459,                0.94385,                0.30747,                0.23709,                0.80977,               0.000205,               0.000205,               0.000205
                     61,                0.42712,                0.36688,                 0.9295,                0.96684,                      1,                  0.995,                0.94235,                0.31632,                0.24115,                0.80845,                 0.0002,                 0.0002,                 0.0002
                     62,                 0.4638,                0.35665,                0.93932,                0.97868,                      1,                 0.9949,                0.94152,                0.30128,                0.22946,                0.81349,               0.000195,               0.000195,               0.000195
                     63,                0.44396,                0.35297,                0.93959,                0.96012,                      1,                0.99358,                0.94581,                0.30748,                0.22192,                  0.812,                0.00019,                0.00019,                0.00019
                     64,                0.44706,                0.35031,                0.93937,                0.96625,                0.95474,                0.98949,                0.92867,                0.34517,                0.23931,                0.81852,               0.000185,               0.000185,               0.000185
                     65,                0.45539,                0.34259,                0.93687,                  0.919,                      1,                0.98792,                0.93101,                0.30227,                0.22378,                0.80828,                0.00018,                0.00018,                0.00018
                     66,                0.43902,                0.34241,                0.92631,                0.92403,                 0.9982,                  0.995,                0.95079,                0.28984,                 0.2223,                0.80488,               0.000175,               0.000175,               0.000175
                     67,                0.42722,                0.32271,                0.92079,                0.92384,                0.99898,                  0.995,                0.94324,                0.31618,                0.23332,                0.81234,                0.00017,                0.00017,                0.00017
                     68,                0.44607,                0.33948,                0.93564,                0.97511,                      1,                  0.995,                0.93674,                 0.3047,                0.22671,                 0.8076,               0.000165,               0.000165,               0.000165
                     69,                0.46911,                0.35324,                 0.9853,                0.99111,                      1,                  0.995,                0.93177,                0.31164,                0.22376,                0.80739,                0.00016,                0.00016,                0.00016
                     70,                0.41582,                0.31848,                0.92861,                 0.9957,                      1,                  0.995,                0.93842,                0.30528,                0.22028,                0.80584,               0.000155,               0.000155,               0.000155
                     71,                0.43514,                0.32209,                0.92681,                0.99515,                      1,                  0.995,                0.91935,                0.32029,                0.21512,                0.81026,                0.00015,                0.00015,                0.00015
                     72,                 0.4175,                0.34006,                0.91485,                0.99214,                      1,                  0.995,                0.94099,                0.29946,                0.22129,                0.80671,               0.000145,               0.000145,               0.000145
                     73,                 0.4427,                0.35457,                0.94558,                0.98468,                      1,                  0.995,                0.93769,                0.29677,                0.22142,                0.80336,                0.00014,                0.00014,                0.00014
                     74,                0.44236,                0.32948,                0.93246,                0.97826,                      1,                  0.995,                0.93841,                0.30321,                0.21656,                0.80031,               0.000135,               0.000135,               0.000135
                     75,                0.39966,                0.32486,                0.91031,                0.98529,                      1,                  0.995,                0.95555,                0.28665,                 0.2056,                0.79444,                0.00013,                0.00013,                0.00013
                     76,                0.45867,                0.33904,                0.94277,                0.98963,                      1,                  0.995,                0.95845,                0.26307,                0.19829,                0.78967,               0.000125,               0.000125,               0.000125
                     77,                0.40215,                0.33126,                0.90121,                0.98895,                      1,                  0.995,                0.97008,                0.25898,                0.20038,                0.78944,                0.00012,                0.00012,                0.00012
